country,year,region,income,death
Aruba,1960,Latin America & Caribbean,3,6.389
Aruba,1961,Latin America & Caribbean,3,6.243
Aruba,1962,Latin America & Caribbean,3,6.12
Aruba,1963,Latin America & Caribbean,3,6.015
Aruba,1964,Latin America & Caribbean,3,5.922
Aruba,1965,Latin America & Caribbean,3,5.841
Aruba,1966,Latin America & Caribbean,3,5.771
Aruba,1967,Latin America & Caribbean,3,5.717
Aruba,1968,Latin America & Caribbean,3,5.682
Aruba,1969,Latin America & Caribbean,3,5.666
Aruba,1970,Latin America & Caribbean,3,5.671
Aruba,1971,Latin America & Caribbean,3,5.698
Aruba,1972,Latin America & Caribbean,3,5.746
Aruba,1973,Latin America & Caribbean,3,5.812
Aruba,1974,Latin America & Caribbean,3,5.892
Aruba,1975,Latin America & Caribbean,3,5.981
Aruba,1976,Latin America & Caribbean,3,6.07
Aruba,1977,Latin America & Caribbean,3,6.157
Aruba,1978,Latin America & Caribbean,3,6.237
Aruba,1979,Latin America & Caribbean,3,6.309
Aruba,1980,Latin America & Caribbean,3,6.376
Aruba,1981,Latin America & Caribbean,3,6.445
Aruba,1982,Latin America & Caribbean,3,6.519
Aruba,1983,Latin America & Caribbean,3,6.603
Aruba,1984,Latin America & Caribbean,3,6.694
Aruba,1985,Latin America & Caribbean,3,6.786
Aruba,1986,Latin America & Caribbean,3,6.874
Aruba,1987,Latin America & Caribbean,3,6.949
Aruba,1988,Latin America & Caribbean,3,7.007
Aruba,1989,Latin America & Caribbean,3,7.045
Aruba,1990,Latin America & Caribbean,3,7.061
Aruba,1991,Latin America & Caribbean,3,7.057
Aruba,1992,Latin America & Caribbean,3,7.037
Aruba,1993,Latin America & Caribbean,3,7.007
Aruba,1994,Latin America & Caribbean,3,6.975
Aruba,1995,Latin America & Caribbean,3,6.944
Aruba,1996,Latin America & Caribbean,3,6.922
Aruba,1997,Latin America & Caribbean,3,6.911
Aruba,1998,Latin America & Caribbean,3,6.914
Aruba,1999,Latin America & Caribbean,3,6.934
Aruba,2000,Latin America & Caribbean,3,6.97
Aruba,2001,Latin America & Caribbean,3,7.02
Aruba,2002,Latin America & Caribbean,3,7.08
Aruba,2003,Latin America & Caribbean,3,7.147
Aruba,2004,Latin America & Caribbean,3,7.222
Aruba,2005,Latin America & Caribbean,3,7.305
Aruba,2006,Latin America & Caribbean,3,7.4
