country,year,region,income,death
Afghanistan,1960,South Asia,Low income,33.39
Afghanistan,1961,South Asia,Low income,32.773
Afghanistan,1962,South Asia,Low income,32.168
Afghanistan,1963,South Asia,Low income,31.572
Afghanistan,1964,South Asia,Low income,30.984
Afghanistan,1965,South Asia,Low income,30.402
Afghanistan,1966,South Asia,Low income,29.826
Afghanistan,1967,South Asia,Low income,29.257
Afghanistan,1968,South Asia,Low income,28.696
Afghanistan,1969,South Asia,Low income,28.144
Afghanistan,1970,South Asia,Low income,27.602
Afghanistan,1971,South Asia,Low income,27.074
Afghanistan,1972,South Asia,Low income,26.56
Afghanistan,1973,South Asia,Low income,26.06
Afghanistan,1974,South Asia,Low income,25.569
Afghanistan,1975,South Asia,Low income,25.089
Afghanistan,1976,South Asia,Low income,24.617
Afghanistan,1977,South Asia,Low income,24.148
Afghanistan,1978,South Asia,Low income,23.677
Afghanistan,1979,South Asia,Low income,23.196
Afghanistan,1980,South Asia,Low income,22.693
Afghanistan,1981,South Asia,Low income,22.155
Afghanistan,1982,South Asia,Low income,21.58
Afghanistan,1983,South Asia,Low income,20.967
Afghanistan,1984,South Asia,Low income,20.32
Afghanistan,1985,South Asia,Low income,19.647
Afghanistan,1986,South Asia,Low income,18.956
Afghanistan,1987,South Asia,Low income,18.264
Afghanistan,1988,South Asia,Low income,17.584
Afghanistan,1989,South Asia,Low income,16.931
Afghanistan,1990,South Asia,Low income,16.315
Afghanistan,1991,South Asia,Low income,15.746
Afghanistan,1992,South Asia,Low income,15.223
Afghanistan,1993,South Asia,Low income,14.744
Afghanistan,1994,South Asia,Low income,14.308
Afghanistan,1995,South Asia,Low income,13.913
Afghanistan,1996,South Asia,Low income,13.556
Afghanistan,1997,South Asia,Low income,13.227
Afghanistan,1998,South Asia,Low income,12.916
Afghanistan,1999,South Asia,Low income,12.613
Afghanistan,2000,South Asia,Low income,12.307
Afghanistan,2001,South Asia,Low income,11.988
Afghanistan,2002,South Asia,Low income,11.653
Afghanistan,2003,South Asia,Low income,11.301
Afghanistan,2004,South Asia,Low income,10.933
Afghanistan,2005,South Asia,Low income,10.55
Afghanistan,2006,South Asia,Low income,10.158
Afghanistan,2007,South Asia,Low income,9.767
