year,Aruba,Afghanistan,Angola,Albania,United Arab Emirates,Argentina,Armenia,Antigua and Barbuda,Australia,Austria,Azerbaijan,Burundi,Belgium,Benin,Burkina Faso,Bangladesh,Bulgaria,Bahrain,"Bahamas, The",Bosnia and Herzegovina,Belarus,Belize,Bolivia,Brazil,Barbados,Brunei Darussalam,Bhutan,Botswana,Central African Republic,Canada,Switzerland,Channel Islands,Chile,China,Cote d'Ivoire,Cameroon,"Congo, Rep.",Colombia,Comoros,Cabo Verde,Costa Rica,Cuba,Cyprus,Czech Republic,Germany,Djibouti,Denmark,Dominican Republic,Algeria,Ecuador,"Egypt, Arab Rep.",Eritrea,Spain,Estonia,Ethiopia,Finland,Fiji,France,"Micronesia, Fed. Sts.",Gabon,United Kingdom,Georgia,Ghana,Guinea,"Gambia, The",Guinea-Bissau,Equatorial Guinea,Greece,Grenada,Guatemala,Guam,Guyana,"Hong Kong SAR, China",Honduras,Croatia,Haiti,Hungary,Indonesia,India,Ireland,"Iran, Islamic Rep.",Iraq,Iceland,Israel,Italy,Jamaica,Jordan,Japan,Kazakhstan,Kenya,Kyrgyz Republic,Cambodia,Kiribati,"Korea, Rep.",Kuwait,Lao PDR,Lebanon,Liberia,Libya,St. Lucia,Liechtenstein,Sri Lanka,Lesotho,Lithuania,Luxembourg,Latvia,"Macao SAR, China",Morocco,Moldova,Madagascar,Maldives,Mexico,"Macedonia, FYR",Mali,Malta,Myanmar,Montenegro,Mongolia,Mozambique,Mauritania,Mauritius,Malawi,Malaysia,Namibia,New Caledonia,Niger,Nigeria,Nicaragua,Netherlands,Norway,Nepal,New Zealand,Oman,Pakistan,Panama,Peru,Philippines,Papua New Guinea,Poland,Puerto Rico,"Korea, Dem. Rep.",Portugal,Paraguay,French Polynesia,Qatar,Romania,Russian Federation,Rwanda,Saudi Arabia,Sudan,Senegal,Singapore,Solomon Islands,Sierra Leone,El Salvador,Somalia,South Sudan,Suriname,Slovak Republic,Slovenia,Sweden,Swaziland,Syrian Arab Republic,Chad,Togo,Thailand,Tajikistan,Turkmenistan,Timor-Leste,Tonga,Trinidad and Tobago,Tunisia,Turkey,Tanzania,Uganda,Ukraine,Uruguay,United States,Uzbekistan,St. Vincent and the Grenadines,"Venezuela, RB",Virgin Islands (U.S.),Vietnam,Vanuatu,Samoa,"Yemen, Rep.",South Africa,Zambia,Zimbabwe
1960,6.389,33.39,32.309,11.377,15.18,8.642,9.518,9.098,8.6,12.7,12.979,23.167,12.4,28.827,28.562,19.68,8.1,14.731,8.285,9.987,9.946,11.181,22.267,13.214,12.421,9.229,31.27,16.496,27.975,7.8,9.8,12.155,12.841,25.43,27.733,22.324,17.127,12.183,21.733,19.764,11.03,8.83,7.506,9.8,12,18.24,9.5,16.021,20.482,15.616,19.519,25.323,8.6,10.5,25.001,9,11.54,11.4,11.696,25.667,11.5,13.066,18.435,29.644,31.507,21.231,27.757,7.3,12.174,19.07,8.019,10.671,5.921,19.834,10,22.269,10.2,20.312,22.248,11.5,21.956,17.534,6.6,5.7,9.6,9.16,15.833,7.6,12.267,20.207,15.335,21.794,19.869,14.344,8.941,20.318,10.467,28.887,24.045,13.574,7.5,12.262,19.177,7.8,11.8,10,9.308,18.451,11.646,24.851,29.523,12.303,10.877,36.447,8.6,21.793,10.183,19.856,28.705,20.343,9.813,25.944,10.582,18.566,10.1,27.854,26.175,18.672,7.6,9.1,24.168,8.8,22.457,19.841,9.886,18.635,11.182,24.284,7.6,6.7,14.165,10.7,8.221,11.001,9.261,8.7,8.293,22.98,20.371,17.514,26.053,6.2,15.668,33.286,16.575,26.751,32.461,11.377,7.8,9.6,10,20.169,15.641,26.546,24.13,12.791,15.101,15.801,29.403,9.034,8.939,22.241,20.494,20.51,20.704,8.674,9.735,9.5,13.7,13.482,9.91,10,12.045,18.312,14.566,32.616,16.993,19.407,15.602
1961,6.243,32.773,31.832,10.744,14.174,8.693,9.171,8.944,8.5,12.1,12.692,22.878,11.6,28.283,28.147,19.222,7.9,13.728,8.028,9.493,9.718,10.86,21.977,12.926,12.133,8.817,30.856,16.159,27.553,7.7,9.4,12.186,12.601,14.24,27.062,22.035,16.721,11.845,21.347,19.38,10.683,8.683,7.324,9.9,11.6,17.907,9.4,15.413,20.029,15.163,19.054,25,8.3,10.6,24.396,9.1,11.125,11.3,11.378,25.43,12,12.721,18.16,29.256,31.283,20.879,27.403,7.6,11.807,18.636,7.812,10.493,6.1,19.216,9.1,21.76,9.6,19.647,21.601,12.3,21.291,16.761,7,5.8,9.3,8.943,15.31,7.4,11.957,19.646,14.897,21.626,19.412,13.824,8.491,20.086,10.187,28.615,22.55,12.991,7.8,11.681,18.814,7.9,11.4,10.1,8.993,18.063,11.351,24.419,29.109,11.93,10.415,36.28,9,21.184,9.813,19.382,28.229,19.826,9.8,25.784,10.123,18.081,9.3,27.898,25.734,18.005,7.6,9.2,23.888,9,21.778,19.146,9.622,18.217,10.922,23.589,7.6,6.8,13.87,11.2,8.107,10.739,8.752,8.7,8.165,22.652,19.976,17.211,25.858,5.9,15.393,33.192,16.109,26.371,32.038,11.024,7.5,8.8,9.8,19.947,15.151,26.24,23.516,12.468,14.754,15.461,28.844,8.853,8.642,21.689,19.83,20.324,20.209,8.417,9.645,9.3,13.37,12.85,9.631,9.68,11.658,17.781,14.153,31.74,16.683,19.166,15.345
1962,6.12,32.168,31.351,10.169,13.182,8.756,8.805,8.784,8.7,12.7,12.356,22.583,12.2,27.76,27.735,18.764,8.7,12.753,7.776,9.046,9.521,10.54,21.689,12.634,11.844,8.421,30.451,15.828,27.118,7.7,9.9,12.206,12.321,10.02,26.4,21.751,16.344,11.537,20.95,18.988,10.32,8.521,7.132,10.8,11.9,17.604,9.8,14.813,19.578,14.742,18.62,24.67,8.7,10.9,23.839,9.5,10.723,11.2,11.068,25.123,11.9,12.365,17.9,28.896,30.995,20.51,27.058,7.9,11.432,18.204,7.587,10.321,6.3,18.629,10,21.252,10.8,18.988,20.96,11.9,20.637,16.061,6.8,6,10,8.756,14.78,7.5,11.635,19.095,14.434,21.442,18.965,13.261,8.086,19.862,9.918,28.296,21.067,12.424,9.5,11.143,18.51,8.7,12.6,10.8,8.651,17.65,11.058,23.984,28.56,11.605,9.977,36.064,8.8,20.536,9.473,18.881,27.778,19.322,9.3,25.643,9.683,17.618,8.5,27.947,25.312,17.353,7.9,9.4,23.605,8.9,21.12,18.491,9.367,17.808,10.67,22.87,7.9,6.8,13.596,10.8,8,10.502,8.255,9.2,8.088,22.307,19.568,16.918,25.733,5.9,15.121,33.109,15.657,25.994,31.628,10.684,8.1,9.9,10.2,19.741,14.66,25.937,22.93,12.161,14.399,15.087,28.291,8.64,8.369,21.063,19.165,20.138,19.719,8.227,9.573,9.5,13.015,12.22,9.347,9.36,11.269,17.25,13.748,30.897,16.383,18.938,15.09
1963,6.015,31.572,30.866,9.677,12.219,8.824,8.424,8.616,8.7,12.8,11.973,22.286,12.6,27.247,27.325,18.329,8.2,11.829,7.53,8.641,9.351,10.22,21.405,12.336,11.568,8.042,30.051,15.502,26.665,7.8,10,12.211,12.003,10.04,25.752,21.472,15.995,11.247,20.549,18.59,9.94,8.335,6.94,10.4,12,17.331,9.8,14.224,19.133,14.356,18.206,24.331,8.8,10.5,23.337,9.3,10.339,11.1,10.769,24.728,12.2,12,17.652,28.567,30.631,20.122,26.725,7.9,11.054,17.773,7.344,10.16,5.9,18.079,9.1,20.746,9.9,18.338,20.327,11.8,19.996,15.41,7.2,6.1,10.1,8.602,14.237,7,11.3,18.568,13.951,21.249,18.531,12.665,7.724,19.646,9.658,27.921,19.653,11.894,8.1,10.64,18.269,8,12.1,10.3,8.29,17.222,10.769,23.551,27.882,11.323,9.561,35.781,9.2,19.83,9.169,18.365,27.35,18.84,9.7,25.518,9.263,17.177,8.566666667,27.996,24.912,16.73,8,10,23.318,8.9,20.479,17.876,9.12,17.407,10.425,22.124,7.5,7,13.284,10.9,7.906,10.272,7.773,8.3,8.057,21.953,19.14,16.632,25.672,5.7,14.854,33.019,15.219,25.62,31.219,10.351,7.7,9.3,10.1,19.546,14.168,25.639,22.368,11.875,14.047,14.673,27.739,8.399,8.122,20.366,18.513,19.946,19.237,8.11,9.524,9.6,12.641,11.61,9.057,9.04,10.894,16.719,13.352,30.078,16.084,18.719,14.836
1964,5.922,30.984,30.379,9.277,11.304,8.89,8.035,8.437,9,12.3,11.55,21.992,11.7,26.735,26.918,17.946,7.9,10.971,7.295,8.277,9.207,9.902,21.128,12.036,11.313,7.684,29.644,15.181,26.192,7.5,9.3,12.198,11.656,11.5,25.12,21.194,15.675,10.967,20.148,18.187,9.548,8.123,6.766,10.5,11.6,17.082,9.9,13.65,18.698,14.005,17.803,23.982,8.4,10,22.896,9.3,9.976,11.1,10.483,24.242,11.3,11.633,17.413,28.266,30.185,19.733,26.403,8.2,10.681,17.342,7.087,10.015,5.3,17.566,10.1,20.243,10,17.703,19.705,11.4,19.369,14.792,7,6.3,9.5,8.481,13.679,6.9,10.956,18.068,13.459,21.069,18.105,12.053,7.401,19.439,9.407,27.493,18.348,11.414,7.9,10.165,18.087,7.4,11.8,9.4,7.927,16.786,10.489,23.121,27.092,11.074,9.167,35.419,8.6,19.068,8.9,17.845,26.943,18.386,8.7,25.398,8.868,16.756,8.633333333,28.041,24.536,16.144,7.7,9.5,23.026,8.8,19.854,17.301,8.882,17.013,10.189,21.36,7.6,7.3,12.895,10.7,7.824,10.038,7.308,8.1,8.07,21.599,18.686,16.351,25.655,5.7,14.594,32.898,14.797,25.25,30.801,10.028,7.6,10.2,10,19.351,13.678,25.346,21.825,11.61,13.709,14.223,27.182,8.136,7.906,19.605,17.885,19.742,18.773,8.067,9.501,9.4,12.257,11.036,8.759,8.72,10.556,16.193,12.968,29.272,15.782,18.504,14.586
1965,5.841,30.402,29.889,8.966,10.457,8.949,7.649,8.248,8.8,13,11.098,21.712,12.2,26.216,26.516,17.688,8.2,10.193,7.077,7.954,9.091,9.592,20.863,11.737,11.086,7.351,29.215,14.857,25.69,7.6,9.5,12.169,11.289,9.5,24.496,20.913,15.382,10.691,19.749,17.767,9.151,7.886,6.644,10.7,12,16.841,10.1,13.095,18.283,13.682,17.412,23.619,8.4,10.4,22.516,9.7,9.639,11.1,10.214,23.671,11.6,11.277,17.181,27.994,29.656,19.403,26.088,7.9,10.323,16.906,6.823,9.889,5,17.086,9.3,19.754,10.7,17.084,19.098,11.5,18.756,14.199,6.7,6.3,9.9,8.381,13.11,7.1,10.612,17.598,12.97,20.827,17.668,11.438,7.113,19.239,9.166,27.017,17.174,10.987,8.1,9.714,17.954,7.9,12.2,10.1,7.581,16.352,10.227,22.698,26.21,10.851,8.799,34.968,9.4,18.277,8.663,17.328,26.549,17.963,8.8,25.267,8.5,16.355,8.7,28.075,24.183,15.6,8,9.4,22.732,8.7,19.244,16.767,8.651,16.611,9.96,20.593,7.4,6.8,12.412,10.6,7.749,9.792,6.864,8.6,8.122,21.264,18.195,16.073,25.654,5.5,14.346,32.706,14.394,24.882,30.37,9.719,8.2,9.7,10.1,19.142,13.188,25.052,21.299,11.359,13.39,13.751,26.589,7.861,7.727,18.788,17.294,19.524,18.337,8.093,9.505,9.4,11.874,10.51,8.456,8.4,10.318,15.681,12.598,28.47,15.473,18.28,14.341
1966,5.771,29.826,29.395,8.73,9.692,8.994,7.282,8.05,8.9,12.5,10.631,21.46,12.1,25.686,26.123,17.637,8.3,9.5,6.887,7.674,9.004,9.295,20.618,11.443,10.886,7.049,28.742,14.521,25.152,7.5,9.4,12.129,10.914,8.83,23.865,20.622,15.115,10.417,19.349,17.316,8.759,7.633,6.612,10.8,11.9,16.585,10.3,12.558,17.896,13.381,17.041,23.241,8.4,10.5,22.191,9.5,9.331,11,9.966,23.037,11.8,10.945,16.955,27.747,29.048,19.21,25.779,7.9,9.991,16.46,6.56,9.786,5.3,16.632,8.8,19.286,10,16.482,18.509,12.2,18.151,13.63,7.1,6.3,9.4,8.288,12.537,6.8,10.282,17.152,12.502,20.427,17.198,10.831,6.855,19.044,8.933,26.51,16.132,10.608,7.8,9.285,17.854,7.9,12.1,10.2,7.269,15.927,9.996,22.282,25.26,10.642,8.461,34.43,9.1,17.501,8.448,16.818,26.161,17.572,9,25.104,8.165,15.974,9.45,28.093,23.85,15.098,8.1,9.6,22.436,8.9,18.65,16.274,8.426,16.184,9.735,19.849,7.4,6.7,11.847,11.2,7.676,9.54,6.444,8.2,8.21,20.972,17.656,15.796,25.637,5.5,14.115,32.402,14.013,24.517,29.929,9.434,8.2,9.1,10,18.905,12.697,24.749,20.787,11.111,13.094,13.278,25.92,7.58,7.591,17.924,16.75,19.29,17.942,8.178,9.537,9.5,11.502,10.039,8.151,8.088888889,10.248,15.193,12.249,27.667,15.157,18.036,14.103
1967,5.717,29.257,28.9,8.538,9.011,9.025,6.946,7.847,8.7,12.9,10.169,21.243,12,25.148,25.741,17.813,9,8.879,6.727,7.436,8.949,9.017,20.39,11.159,10.71,6.781,28.214,14.165,24.579,7.4,9.2,12.086,10.543,8.43,23.213,20.318,14.871,10.146,18.943,16.825,8.38,7.38,6.686,11.1,11.9,16.297,9.9,12.041,17.538,13.089,16.701,22.848,8.4,10.4,21.91,9.5,9.054,11,9.74,22.373,11.2,10.648,16.733,27.52,28.38,19.203,25.468,8.3,9.695,16.003,6.307,9.706,5.4,16.193,9.5,18.85,10.7,15.897,17.939,10.8,17.55,13.097,7,6.4,9.6,8.185,11.974,6.7,9.979,16.719,12.068,19.907,16.681,10.244,6.619,18.852,8.707,25.988,15.185,10.259,7.8,8.884,17.768,8.1,12.3,10.6,7.004,15.516,9.803,21.873,24.271,10.44,8.161,33.823,9.6,16.788,8.244,16.315,25.771,17.206,8.6,24.9,7.864,15.612,10.2,28.092,23.533,14.63,7.9,9.6,22.137,8.4,18.072,15.82,8.202,15.723,9.516,19.147,7.7,6.3,11.247,10.8,7.595,9.292,6.051,9.2,8.332,20.735,17.067,15.521,25.571,5.4,13.901,31.969,13.655,24.155,29.485,9.18,8,9.7,10.1,18.631,12.208,24.432,20.289,10.852,12.814,12.827,25.179,7.302,7.497,17.03,16.252,19.042,17.597,8.307,9.592,9.4,11.149,9.623,7.849,7.777777778,10.368,14.734,11.921,26.867,14.837,17.767,13.872
1968,5.682,28.696,28.408,8.361,8.411,9.042,6.653,7.647,9.1,12.9,9.731,21.061,12.7,24.608,25.371,18.192,8.6,8.319,6.6,7.239,8.926,8.762,20.173,10.889,10.553,6.549,27.625,13.784,23.974,7.4,9.5,12.045,10.184,8.21,22.534,19.999,14.644,9.88,18.531,16.293,8.022,7.139,6.863,11.7,12.6,15.965,9.7,11.544,17.205,12.797,16.391,22.446,8.4,10.7,21.663,9.7,8.807,10.9,9.533,21.708,11.9,10.391,16.514,27.304,27.669,19.394,25.154,8.4,9.442,15.537,6.072,9.647,5.1,15.757,10,18.453,11.2,15.329,17.39,11.4,16.951,12.604,6.9,6.7,10,8.061,11.429,6.8,9.713,16.29,11.677,19.413,16.115,9.688,6.399,18.661,8.491,25.466,14.307,9.925,7.1,8.515,17.672,8.4,12.2,10.8,6.794,15.12,9.657,21.471,23.272,10.232,7.902,33.168,9.4,16.174,8.045,15.824,25.375,16.86,9.2,24.653,7.594,15.265,9.9,28.067,23.223,14.189,8.2,9.9,21.836,8.9,17.504,15.401,7.978,15.224,9.303,18.501,7.6,6.5,10.654,10.7,7.504,9.059,5.687,9.5,8.48,20.557,16.432,15.25,25.423,5.5,13.701,31.405,13.326,23.796,29.045,8.959,8.5,10.2,10.4,18.317,11.72,24.098,19.804,10.576,12.546,12.418,24.402,7.037,7.442,16.126,15.795,18.782,17.306,8.465,9.663,9.8,10.821,9.257,7.559,7.466666667,10.657,14.309,11.616,26.07,14.517,17.472,13.646
1969,5.666,28.144,27.923,8.185,7.887,9.045,6.41,7.451,8.7,13.3,9.333,20.91,12.5,24.067,25.009,18.713,9.5,7.814,6.503,7.077,8.933,8.53,19.954,10.635,10.418,6.35,26.974,13.379,23.343,7.3,9.5,12.009,9.843,8.03,21.831,19.664,14.433,9.62,18.118,15.726,7.69,6.918,7.129,12.2,12.7,15.588,9.8,11.071,16.891,12.499,16.104,22.037,8.9,11.3,21.447,9.9,8.59,10.9,9.344,21.059,11.9,10.176,16.295,27.088,26.932,19.757,24.835,8.2,9.236,15.068,5.861,9.605,5,15.318,10.7,18.095,11.3,14.78,16.862,11.5,16.354,12.15,7.1,6.9,10.1,7.914,10.909,6.8,9.489,15.863,11.336,19.161,15.513,9.174,6.187,18.471,8.285,24.951,13.49,9.601,8,8.179,17.554,8.7,12.4,11.2,6.645,14.744,9.56,21.076,22.288,10.013,7.686,32.478,9.9,15.669,7.849,15.354,24.972,16.529,8.3,24.366,7.355,14.931,9.6,28.014,22.916,13.776,8.4,10.1,21.529,8.6,16.942,15.013,7.753,14.692,9.101,17.914,8.1,6.5,10.082,11.5,7.402,8.84,5.351,10.1,8.65,20.438,15.755,14.985,25.172,5,13.509,30.722,13.026,23.441,28.611,8.77,9,10.8,10.5,17.96,11.237,23.754,19.332,10.281,12.29,12.057,23.646,6.793,7.419,15.232,15.376,18.51,17.07,8.643,9.744,9.5,10.524,8.943,7.283,7.155555556,11.068,13.918,11.334,25.276,14.197,17.155,13.424
